"ID","uso_internet","sexo","edad","estudios"
"636",1,"Mujer",41,"Primaria"
"637",0,"Hombre",35,"Sin estudios"
"638",0,"Mujer",72,"Sin estudios"
"639",0,"Mujer",61,"Sin estudios"
"640",1,"Hombre",20,"Primaria"
"641",0,"Mujer",74,"Sin estudios"
"642",1,"Hombre",63,"Primaria"
"643",1,"Hombre",27,"Primaria"
"644",1,"Mujer",29,"Form Profesional"
"645",0,"Mujer",50,"Form Profesional"
"646",1,"Hombre",33,"Primaria"
"647",1,"Hombre",25,"Form Profesional"
"648",1,"Mujer",51,"Maestría"
"649",1,"Hombre",47,"Secundaria"
"650",0,"Hombre",69,"Primaria"
"651",1,"Mujer",26,"Secundaria"
"652",1,"Mujer",18,"Secundaria"
"653",0,"Mujer",67,"Sin estudios"
"654",1,"Mujer",37,"Universitarios"
"655",1,"Hombre",43,"Universitarios"
"656",1,"Hombre",37,"Secundaria"
"657",1,"Hombre",19,"Secundaria"
"658",1,"Hombre",29,"Maestría"
"659",1,"Mujer",34,"Primaria"
"660",0,"Mujer",58,"Primaria"
"661",0,"Hombre",67,"Sin estudios"
"662",0,"Mujer",43,"Primaria"
"663",0,"Mujer",45,"Primaria"
"664",0,"Mujer",77,"Primaria"
"665",1,"Hombre",41,"Primaria"
"666",0,"Hombre",79,"Sin estudios"
"667",1,"Hombre",29,"Primaria"
"668",1,"Hombre",40,"Form Profesional"
"669",0,"Mujer",20,"Primaria"
"670",0,"Mujer",26,"Primaria"
"671",0,"Mujer",54,"Sin estudios"
"672",0,"Mujer",57,"Primaria"
"673",0,"Mujer",38,"Primaria"
"674",0,"Hombre",48,"Primaria"
"675",1,"Hombre",26,"Primaria"
"676",0,"Hombre",68,"Sin estudios"
